lt_label,ref_period,sex,x,n,nMx,nqx,npx,lx,ndx,nLx,Tx,ex
Adjusted,2019.5,Females,50,5,0.0052211952303676,0.0257696057946789,0.974230394205321,94129.781164422,2425.68735414655,464584.687436744,2840569.5669917,30.17716106266
Adjusted,2019.5,Females,55,5,0.00895866595706936,0.0438120851949855,0.956187914805015,91704.0938102754,4017.74757074473,448476.100124515,2375984.87955495,25.9092564010346
Adjusted,2019.5,Females,60,5,0.0160936815079216,0.0773560485206032,0.922643951479397,87686.3462395307,6783.06925429955,421474.058061905,1927508.77943044,21.9818576334006
Adjusted,2019.5,Females,65,5,0.0230681447668732,0.109051674309275,0.890948325690725,80903.2769852312,8822.6378123465,382459.79039529,1506034.72136853,18.615249931637
Adjusted,2019.5,Females,70,5,0.0373469897576817,0.170788827326212,0.829211172673788,72080.6391728847,12310.5678372608,329626.776271271,1123574.93097324,15.5877492745085
Adjusted,2019.5,Females,75,5,0.0466129383576563,0.208739758095981,0.791260241904019,59770.0713356239,12476.3902319777,267659.381098175,793948.154701973,13.2833730487581
Adjusted,2019.5,Females,80,Inf,0.0898626067582622,1,0,47293.6811036462,47293.6811036462,526288.773603798,526288.773603798,11.1280991735537
Adjusted,2019.5,Males,0,1,0.0149588259542316,0.0147516724772814,0.985248327522719,1e+05,1475.16724772814,98615.1755653554,7563944.1743228,75.639441743228
Adjusted,2019.5,Males,1,4,0.000627685134028343,0.00250701729226619,0.997492982707734,98524.8327522719,247.00345942758,393514.910640574,7465328.99875744,75.7710395462235
Adjusted,2019.5,Males,5,5,0.00028341144429237,0.00141605390675458,0.998583946093245,98277.8292928443,139.166704117492,491041.229703928,7071814.08811687,71.9573696224463
Adjusted,2019.5,Males,10,5,0.000189453741711399,0.000946820261953606,0.999053179738046,98138.6625887268,92.9196742200348,490461.013758084,6580772.85841294,67.0558644760753
Adjusted,2019.5,Males,15,5,0.000263481468470051,0.00131654013253171,0.998683459867468,98045.7429145068,129.081155370834,489906.011684107,6090311.84465486,62.1170452037418
Adjusted,2019.5,Males,20,5,0.000225678059989332,0.00112775402659449,0.998872245973405,97916.6617591359,110.425909569556,489307.244021756,5600405.83297075,57.1956369054649
Adjusted,2019.5,Males,25,5,0.000326374307814489,0.0016305411222471,0.998369458877753,97806.2358495664,159.477089564917,488632.48652392,5111098.588949,52.2573897722663
Adjusted,2019.5,Males,30,5,0.000516351118760757,0.00257842715943275,0.997421572840567,97646.7587600014,251.775054817365,487604.356162964,4622466.10242508,47.3386537466777
Adjusted,2019.5,Males,35,5,0.00092730328613102,0.00462579264884452,0.995374207351155,97394.9837051841,450.528999657772,485848.596026776,4134861.74626211,42.4545658201289
Adjusted,2019.5,Males,40,5,0.00085065293360309,0.00424423873269326,0.995755761267307,96944.4547055263,411.455409581022,483693.635003679,3649013.15023534,37.6402462762765
Adjusted,2019.5,Males,45,5,0.00167617479268364,0.00834590099125877,0.991654099008741,96532.9992959453,805.654854513211,480650.859343443,3165319.51523166,32.790025569677
Adjusted,2019.5,Males,50,5,0.0028927680798005,0.0143599900965586,0.985640009903442,95727.3444414321,1374.64371814881,475200.112911788,2684668.65588822,28.0449507040358
Adjusted,2019.5,Males,55,5,0.00506981382978723,0.0250318027001518,0.974968197299848,94352.7007232832,2361.8181887317,465858.958144587,2209468.54297643,23.4171202948004
Adjusted,2019.5,Males,60,5,0.00974251913709116,0.047554347826087,0.952445652173913,91990.8825345515,4374.56642487677,449017.996610566,1743609.58483184,18.9541565075968
Adjusted,2019.5,Males,65,5,0.0194015693713892,0.0925202516550845,0.907479748344915,87616.3161096748,8106.28361555854,417815.871509478,1294591.58822128,14.7756907126836
Adjusted,2019.5,Males,70,5,0.0395864508230173,0.180107693259887,0.819892306740113,79510.0324941162,14320.368543534,361749.241111746,876775.716711798,11.0272337868392
Adjusted,2019.5,Males,75,5,0.0741773563859453,0.312867560573983,0.687132439426017,65189.6639505823,20395.7311348564,274958.991915771,515026.475600052,7.90043151611386
Adjusted,2019.5,Males,80,Inf,0.186588921282799,1,0,44793.9328157259,44793.9328157259,240067.483684281,240067.483684281,5.359375
Adjusted,2019.5,Both,0,1,0.013829976329221,0.0136537627257526,0.986346237274247,1e+05,1365.37627257526,98725.857519394,7621445.52548422,76.2144552548422
Adjusted,2019.5,Both,1,4,0.000563583794498621,0.00225125513161774,0.997748744868382,98634.6237274248,222.05170282155,393999.446025756,7522719.66796483,76.2685493559924
Adjusted,2019.5,Both,5,5,0.000325363115846952,0.00162549339024916,0.998374506609751,98412.5720246032,159.968985343412,491662.937659658,7128720.22193907,72.4370888320741
Adjusted,2019.5,Both,10,5,0.000278693291973633,0.00139249626145025,0.99860750373855,98252.6030392598,136.816382409925,490920.974240274,6637057.28427942,67.5509561983552
Adjusted,2019.5,Both,15,5,0.000394703972020984,0.00197157438949825,0.998028425610502,98115.7866568499,193.442572178119,490095.326853804,6146136.31003914,62.641665724341
Adjusted,2019.5,Both,20,5,0.000568472217876104,0.00283832731382265,0.997161672686177,97922.3440846718,277.935663849064,488916.881263736,5656040.98318534,57.7604737310481
Adjusted,2019.5,Both,25,5,0.000571833882257204,0.00285508782140328,0.997144912178597,97644.4084208227,278.783361310418,487525.083700837,5167124.1019216,52.917767494198
Adjusted,2019.5,Both,30,5,0.000697284901984746,0.00348035750806402,0.996519642491936,97365.6250595123,338.86718420322,485980.957337053,4679599.01822076,48.0621268066679
Adjusted,2019.5,Both,35,5,0.00103542495565888,0.00516375806837198,0.994836241931628,97026.7578753091,501.022703826602,483881.232616979,4193618.06088371,43.2212531132186
Adjusted,2019.5,Both,40,5,0.00124155055869775,0.00618854431685347,0.993811455683147,96525.7351714824,597.353789825581,481135.291382848,3709736.82826673,38.4326192561622
Adjusted,2019.5,Both,45,5,0.00208981769675411,0.0103947804931992,0.989605219506801,95928.3813816569,997.154467530217,477149.020739459,3228601.53688388,33.6563745826034
Adjusted,2019.5,Both,50,5,0.00402252614641995,0.0199123855037834,0.980087614496217,94931.2269141267,1890.30718666122,469930.36660398,2751452.51614442,28.9836401106808
Adjusted,2019.5,Both,55,5,0.00695099974255557,0.0341613597064654,0.965838640293535,93040.9197274654,3178.40432623032,457258.587821751,2281522.14954044,24.5217067525069
Adjusted,2019.5,Both,60,5,0.0129342900302115,0.0626457542640267,0.937354245735973,89862.5154012351,5629.50505737309,435238.814362743,1824263.56171869,20.3006064717127
Adjusted,2019.5,Both,65,5,0.0212864026817515,0.101054306743585,0.898945693256415,84233.010343862,8512.10846522417,399884.78055625,1389024.74735595,16.4902660095558
Adjusted,2019.5,Both,70,5,0.0384189620368562,0.175261406844106,0.824738593155893,75720.9018786379,13270.9517907546,345427.129916303,989139.966799701,13.062971283478
Adjusted,2019.5,Both,75,5,0.0587012351718234,0.255945398315026,0.744054601684974,62449.9500878832,15983.7773499968,272290.307064424,643712.836883398,10.3076597495679
Adjusted,2019.5,Both,80,Inf,0.125103269208073,1,0,46466.1727378865,46466.1727378865,371422.529818973,371422.529818973,7.99339622641509
